29,"가지다01",AV,"규칙",1,65234,"have; hold","* 내가 가진 돈이라고는 천 원이 전부였다.
* 몸에 가지고 있다."
30,"지나다",AV,"규칙",1,82142,"pass; elapse","* 벌써 가을이 지나고 겨울이 왔다.
* 지난 여름."
31,"주다01",AV,"규칙",1,82136,give,"* 언니가 동생에게 연필을 주었다.
* 가방을 주다."
32,"나다01",AV,"규칙",1,62210,"grow; sprout","* 봄이 되니 꽃밭에 새싹이 나기 시작했다.
* 가지가 나다."
33,"이렇다",DV,"ㅎ불규칙",1,71157,"so; like this","* 음식이 보기엔 이렇지만 맛은 정말 괜찮아요.
* 결과가 이렇다."
34,"의하다",AV,"ㅕ불규칙",3,71122,"be based on; be caused by; be grounded on","* 악랄한 범죄를 저지른 남자는 법에 의하여 엄격하게 처벌될 것이다.
* 권력에 의하다."
35,"이러하다",DV,"규칙",3,71154,"such; of this kind; of this sort","* 지원자는 건방진 태도를 보여 주었고 이러한 태도는 결코 좋은 평가를 받을 수 없었다.
* 결론이 이러하다."
36,"들다02",AV,"규칙",1,71686,"come in; get in; enter","* 남편은 방에 들자마자 침대에 벌렁 누워 버렸다.
* 방에 들다."
37,"시작하다",AV,"ㅕ불규칙",3,66567,"start; begin; initiate","* 벼락이 치더니 비가 폭포처럼 쏟아지기 시작한다.
* 시작한 사업."
38,"들어가다",AV,"규칙",1,67877,"enter; go into","* 그가 들어간 곳은 전시회가 열리고 있는 미술관이었다.
* 방으로 들어가다."
39,"나타나다",AV,"규칙",1,62286,"appear; come into sight","* 그토록 찾던 지갑이 엉뚱하게도 빨래 더미 속에서 나타났다.
* 건물이 나타나다."
40,"다르다",DV,"르불규칙",1,26824,"different; other","* 말을 한다는 것이 인간과 다른 동물의 가장 큰 다른 점이다.
* 다른 느낌."
41,"만나다",AV,"규칙",1,66591,"meet; join","* 여기에서 계속 직진하다보면 고속 도로와 만나게 된다. 
* 물줄기들이 만나 이룬 강."
42,"내다01",AV,"규칙",1,89906,"make; build","* 건축가는 햇볕이 잘 들도록 남향으로 창문을 내었다.
* 길을 내다."
43,"보이다02",AV,"규칙",1,59531,"show; reveal","* 아이는 활짝 웃으며 하얀 이를 드러내 보였다.
* 그림을 보이다."
44,"쓰다01",AV,"규칙",1,65172,write,"* 아이는 새로 산 공책의 앞에 자기 이름을 썼다.
* 글씨를 쓰다."
45,"쓰다03",AV,"규칙",1,71285,"use; work with; make use of","* 나는 요리를 할 때 신선한 재료만을 쓴다.
* 기계를 쓰다."
46,"새롭다",DV,"ㅂ불규칙",1,29029,"new; fresh","* 텔레비전에서 새로운 프로그램을 방송하기 시작했다.
* 새로운 발견."
47,"앉다",AV,"규칙",1,71463,"sit; be seated","* 소파에 앉으신 아버지께서 텔레비전을 시청하고 계신다.
* 관람석에 앉다."
48,"갖다01",AV,"규칙",1,29738,"have; hold","* 나는 지금 아까 도서관에서 주운 책을 갖고 있다.
* 가방을 갖다."
49,"찾다",AV,"규칙",1,57320,"find; look for","* 오늘도 일자리를 찾는 사람들이 직업소개소에 가득하다.
* 가족을 찾다."
50,"나가다01",AV,"규칙",1,71456,"go out; leave","* 서울을 조금만 나가도 한적한 곳이 많다.
* 도시를 나가다."
51,"사다",AV,"규칙",1,49419,"buy; purchase; get","* 어제 가족들과 백화점에서 옷과 신발을 샀다.
* 건물을 사다."
52,"잡다",AV,"규칙",1,70378,"hold; grab; seize","* 나는 자리에서 일어나는 유민이의 팔을 꽉 잡았다.
* 잡은 손."
53,"서다",AV,"규칙",1,68756,stand,"* 사람은 유일하게 두 발로 서서 걸을 수 있는 동물이다.
* 두 발로 서다."
54,"읽다",AV,"규칙",1,68752,"read; read out","* 절에 가니 스님이 경을 읽는 소리가 들렸다.
* 경전을 읽다."
55,"일어나다",AV,"규칙",1,71696,"stand up; rise; sit up","* 선생님이 강의실 안으로 들어오자 학생들이 일제히 자리에서 일어났다.
* 의자에서 일어나다."
56,"넣다",AV,"규칙",1,64509,"put; insert","* 동생은 일기장을 책상 제일 위 서랍 속에 넣어 둔다.
* 돈을 넣다."
57,"중요하다",DV,"ㅕ불규칙",3,91873,important,"* 살을 뺄 때는 운동을 병행하는 것이 중요하다.
* 중요한 과업."
58,"느끼다02",AV,"규칙",1,64376,feel,"* 지수는 수술하는 동안 마취를 해서 통증을 느끼지 못했다.
* 냄새를 느끼다."
59,"어렵다",DV,"ㅂ불규칙",1,62232,"difficult; challenging","* 지수는 수학 시험에서 어려운 문제 하나를 빼고 모두 맞았다.
* 어려운 수술."
60,"부르다01",AV,"르불규칙",1,57304,"call for; call out for; gesture","* 아이는 엄마가 부르는 소리를 못 들은 척했다.
* 부르는 소리."
61,"밝히다",AV,"규칙",2,58174,"light up; brighten up","* 전기가 나가서 촛불로 방 안을 밝혔다.
* 거리를 밝히다."
62,"죽다01",AV,"규칙",1,20851,die,"* 집에서 키우던 강아지가 병으로 죽자 동생은 강아지를 뒷산에 묻었다.
* 죽는 날."
63,"내리다",AV,"규칙",1,73353,"fall; descend","* 이 지역은 지금 폭설이 내려서 교통이 마비되었다.
* 가랑비가 내리다."
64,"쉽다",DV,"ㅂ불규칙",1,66314,easy,"* 동생은 항상 간단하게 할 수 있는 쉬운 일만 하려고 한다. 
* 쉬운 글."
65,"짓다",AV,"ㅅ불규칙",1,66585,make,"* 그녀는 남편의 옷은 모두 손수 지어서 해 입혔다.
* 지은 건물."
66,"필요하다",DV,"규칙",3,46945,"necessary; needed","* 성공에는 노력이 필요하다.
* 필요한 것."
67,"생기다01",AV,"규칙",1,67898,"be formed; come into being","* 초등학교가 집 앞에 새로 생겼다.
* 건물이 생기다."
68,"사용하다",AV,"ㅕ불규칙",3,61643,use,"* 우리는 작은 창고를 하나 빌려서 임시 사무실로 사용했다.
* 사용한 금액."
69,"들어오다",AV,"규칙",1,74105,"come in; get in; enter","* 창문을 열자 시원한 바람이 방 안으로 들어왔다.
* 서울로 들어오다."
70,"작다",DV,"규칙",1,69513,"small; little","* 언니는 작은 키를 크게 보이려고 늘 하이힐을 신는다.
* 작은 가방."
71,"타다02",AV,"규칙",1,17160,"ride; get on; board","* 이 버스에 탄 사람들은 모두 서울로 가는 사람들이다.
* 가마를 탄 새색시."
72,"보내다",AV,"규칙",1,66375,send,"* 어머니는 매달 1일이면 용돈을 보내 주셨다.
* 돈을 보내다."
73,"두다01",AV,"규칙",1,67470,"put; place; lay","* 바닥에 둔 안경을 누가 밟아 버렸다.
* 가방을 바닥에 두다."
74,"높다",DV,"규칙",1,64523,"high; lofty","* 이 나무는 하늘에 닿을 정도로 크고 높다.
* 높은 빌딩."
75,"다니다",AV,"규칙",1,29702,"go continuously","* 언니는 머리를 할 때면 늘 자주 가던 미용실에만 다녔다.
* 미용실에 다니다."
76,"열다",AV,"규칙",1,66574,"open; unlock","* 나는 창문을 조금 열고 창밖을 내려다 보았다. 
* 가방을 열다."
77,"묻다03",AV,"ㄷ불규칙",1,69471,"ask; inquire; interrogate","* 지수는 나에게 부모님의 건강에 대해 물었다.
* 견해를 묻다."
78,"남다",AV,"규칙",1,64552,"remain; be left","* 이번 달 용돈이 남아서 나는 저축을 했다. 
* 남은 몫."
79,"기다리다",AV,"규칙",1,62264,wait,"* 곧 돌아온다던 언니는 아무리 기다려도 오지 않았다.
* 결정을 기다리다."
80,"떨어지다",AV,"규칙",1,89796,"fall; drop","* 유리컵이 바닥으로 떨어져 산산조각이 났다.
* 눈이 떨어지다."
81,"관하다",AV,"ㅕ불규칙",3,64365,concern,"* 이번 사건에 관해서 사람들의 말이 많다.
* 사랑에 관한 글."
82,"나누다",AV,"규칙",1,29749,"divide; split","* 어머니는 빵을 크게 둘로 나누시더니 한 덩어리를 내게 주셨다.
* 고기를 나누다."
83,"이용하다",AV,"ㅕ불규칙",3,70751,"use; utilize","* 우리 마을은 태양열을 이용해 전기 에너지를 생산한다.
* 이용한 기술."
84,"이르다01",AV,"러불규칙",2,62642,"arrive; reach","* 어머니는 택시가 집 앞에 이르고서야 집을 나서셨다.
* 공항에 이르다."
85,"이루다",AV,"규칙",2,66315,"form; make","* 이곳은 전통과 현대가 조화를 이루고 있다.
* 경사를 이루다."
86,"웃다",AV,"규칙",1,71461,smile,"* 아기가 엄마의 얼굴을 보고 방긋 웃는다.
* 웃는 얼굴."
87,"떠나다",AV,"규칙",1,53746,"leave; depart","* 내 동생은 영어를 공부하기 위해 작년에 미국으로 떠났다.
* 먼 곳으로 떠나다."
88,"얻다",AV,"규칙",1,73863,"get; receive","* 동생은 언니에게서 언니가 잘 안 입는 옷을 여러 벌 얻었다.
* 담배를 얻다."
89,"아름답다",DV,"ㅂ불규칙",1,71290,"beautiful; pretty","* 지수는 웃는 모습이 아름다웠다.
* 아름다운 목소리."
90,"입다",AV,"규칙",1,17174,"wear; be dressed; put on","* 그는 검정 바지에 하얀 와이셔츠를 입고 있었다.
* 교복을 입다."
91,"이루어지다",AV,"규칙",2,71690,"be done; be formed","* 선생님은 학생들의 답안지를 확인했고 곧 평가가 이루어졌다.
* 논의가 이루어지다."
92,"마시다",AV,"규칙",1,64682,drink,"* 두 사람은 카페에서 차를 마시며 이야기를 나눴다.
* 물을 마시다."
93,"치다02",AV,"규칙",1,57323,"hit; strike","* 김 과장은 화가 나서 주먹으로 책상을 쳤다.
* 뺨을 치다."
94,"끝나다",AV,"규칙",1,34734,"end; finish","* 영화가 끝나자 극장의 불이 다시 환하게 켜졌다.
* 강의가 끝나다."
95,"돌아오다",AV,"규칙",1,66268,"come back; return","* 유학을 갔던 민준이가 공부를 마치고 우리나라로 돌아왔다.
* 국내에 돌아오다."
96,"맞다01",AV,"규칙",1,66231,"be correct","* 이 문제에 맞는 답을 쓰시오.
* 맞는 정답."
97,"걸리다01",AV,"규칙",1,86940,hang,"* 넓은 벽에는 작은 액자 하나만 걸려 있었다.
* 가방이 걸리다."
98,"지키다",AV,"규칙",1,29754,"guard; defend","* 아이는 잠시 엄마가 장을 보러 간 사이 집을 지키고 있었다.
* 가정을 지키다."
99,"길다02",DV,"규칙",1,26808,"long; lengthy; extensive","* 그 여자는 발목까지 내려오는 긴 치마를 입고 있었다.
* 긴 복도."
100,"바라보다",AV,"규칙",1,64743,"look; stare; gaze","* 아이는 겁에 질려 아무 말도 못하고 엄마 얼굴만 바라보았다.
* 바라보는 방향."
101,"알아보다",AV,"규칙",1,16080,"investigate; examine; look into","* 우리는 일본 여행에 대한 정보를 인터넷으로 알아보았다.
* 알아본 정보."
102,"오르다",AV,"르불규칙",1,69518,"go up; get on; climb; reach","* 뒷동산에 오르니 마을이 한눈에 보인다.
* 계단을 오르다."
103,"세우다",AV,"규칙",1,58163,"pick up; raise up; make something stand","* 한 친구가 술에 취해 넘어진 승규를 부축해 세웠다.
* 세워 놓다."
104,"놓다01",AV,"규칙",1,89534,"let go; let loose","* 동생은 밥을 다 먹고 숟가락을 놓았다.
* 고삐를 놓다."
105,"놀다",AV,"규칙",1,88353,"play; have fun","* 아버지는 어린 아들과 공을 차면서 함께 놀아 주었다.
* 아이들이 놀다."
106,"향하다",AV,"ㅕ불규칙",2,89810,"face; turn; direct","* 지구의 북극으로 향한 쪽을 북쪽이라고 한다.
* 나에게 향한 눈길."
107,"그러하다",DV,"ㅕ불규칙",3,36281,"so; as such; like that","* 그는 늘 웃는 얼굴이다. 그러한 그가 오늘 웬일인지 울면서 나를 찾아왔다.
"
108,"믿다",AV,"규칙",1,69478,"believe; trust","* 나는 동생의 말이 사실이라고 믿었다.
* 거짓말을 믿다."
109,"바꾸다",AV,"규칙",1,17198,"change; exchange; replace; turn into","* 유월이 되자 어머니는 옷장에 있는 옷을 모두 여름옷으로 바꾸어 놓으셨다.
* 달러를 원화로 바꾸다."
110,"낳다",AV,"규칙",2,64391,"give birth; deliver","* 유민이는 결혼해서 예쁜 딸을 낳았다.
* 달걀을 낳다."
111,"열리다02",AV,"규칙",1,74352,"open; be unlocked; unlock","* 자물쇠에 열쇠를 넣고 돌렸더니 자물쇠가 덜커덕 열렸다.
* 가방이 열리다."
112,"좋아하다",AV,"ㅕ불규칙",1,27929,like,"* 나는 흰색을 좋아해서 흰 옷을 즐겨 입는다.
* 좋아하는 색."
113,"그리다02",AV,"규칙",1,57277,"draw; paint","* 아이는 자기 방에서 가족의 모습을 그리고 있었다.
* 그림을 그리다."
114,"배우다",AV,"규칙",1,62088,learn,"* 유치원에서 한글을 배운 아이는 혼자 동화책을 읽기 시작했다.
* 글을 배우다."
115,"비하다",AV,"ㅕ불규칙",2,15641,"compare; be comparable","* 명품은 일반 제품과 비할 수 없을 만큼 비싸다.
* 비할 것이 아니다."
116,"나서다",AV,"규칙",2,61183,"come out; come forward","* 오랜 시간 땡볕에 나서서 걸으니 땀이 줄줄 흐른다.
* 거리에 나서다."
117,"흐르다",AV,"르불규칙",1,29757,"flow; run","* 산에서 내려온 계곡물은 강을 타고 바다로 흘렀다.
* 흐르는 물."
118,"깊다",DV,"규칙",1,45157,deep,"* 뿌리가 깊은 나무는 비바람에도 쓰러지지 않고 굳건하다.
* 깊은 계곡."
119,"올리다",AV,"규칙",1,22109,"increase; raise","* 정부가 매년 세금을 올려서 국민들로부터 비판을 받고 있다.
* 가격을 올리다."
120,"넘다",AV,"규칙",1,64524,"exceed; go beyond","* 삼촌은 마흔이 넘어서 첫 아들을 보았다.
* 사십 도가 넘다."
121,"지니다",AV,"규칙",2,27766,keep,"* 그 군인은 어머니의 사진을 보물인 것처럼 몸에 소중하게 지녔다.
* 지닌 물품."
122,"잘하다",AV,"ㅕ불규칙",1,70073,"do a right thing; do right","* 김 사장은 매사에 처신을 잘해서 인간관계가 좋다.
* 잘한 결정."
123,"어리다02",DV,"규칙",1,74176,young,"* 오랜만에 사진첩을 보니 어렸을 때의 추억이 생각난다.
* 어린 남매."
124,"힘들다",DV,"규칙",1,91737,"strenuous; laborious","* 지수는 너무 오래 걸어서 힘들다고 투덜댔다. 
* 걷기가 힘들다."
125,"움직이다",AV,"규칙",1,58166,"move; budge; be in motion","* 아이가 계속 움직여서 사진을 찍을 수가 없다.
* 움직인 발가락."
126,"못하다01",AV,"ㅕ불규칙",1,91168,"be incapable; fail to","* 새댁은 살림을 못해서 집이 매우 어수선했다.
* 공부를 못하다."
127,"알려지다",AV,"규칙",2,83171,"become known","* 김 과장은 회사 돈을 몰래 사용한 사실이 알려지면서 회사를 그만두게 되었다 . 
* 비리가 알려지다."
128,"가능하다",DV,"ㅕ불규칙",3,62658,"possible; able","* 공장 기계를 24시간 지켜봐야 하는데 지금으로서는 야근이 가능한 사람이 없다.
* 가능한 방법."
129,"주장하다",AV,"ㅕ불규칙",3,77010,"assert; claim","* 사내는 내가 자신에게 백만 원을 빌렸다고 주장했다.
* 주장하는 글."
130,"돌리다02",AV,"규칙",1,71457,"turn; spin","* 엄마는 맷돌을 돌려 콩을 갈았다.
* 바퀴를 돌리다."
131,"모으다",AV,"규칙",1,74137,"gather; collect; get together","* 유민이는 의자에 앉아 다리를 다소곳이 모으고 자세를 바르게 했다.
* 나뭇잎을 모으다."
132,"이해하다",AV,"ㅕ불규칙",3,69534,"understand; comprehend; figure out","* 나는 편지를 읽었지만 내용을 이해할 수 없었다.
* 개념을 이해하다."
133,"돌아가다",AV,"규칙",1,74103,"spin; rotate","* 바람이 불자 창가에 세워 둔 바람개비가 돌아가기 시작했다.
* 물레방아가 돌아가다."
134,"젊다",DV,"규칙",1,75773,young,"* 광장에는 많은 젊은 남녀가 한가로운 오후를 즐기고 있었다.
* 젊은 남녀."
135,"이야기하다",AV,"ㅕ불규칙",3,17179,"tell; say; speak","* 나는 선생님께 내 솔직한 마음을 숨김없이 다 이야기했다.
* 이야기한 사연."
136,"자다",AV,"규칙",1,69511,sleep,"* 남편은 휴일에 침대에서 잠만 잤다.
* 낮잠을 자다."
137,"걷다02",AV,"ㄷ불규칙",1,29667,walk,"* 오빠는 교통사고로 다리를 다쳐 절뚝거리며 걷는다.
* 걸어서 가다."
138,"살펴보다",AV,"규칙",2,67895,"examine; check","* 의사가 환자의 입안을 꼼꼼하게 살펴보았다.
* 안팎을 살펴보다."
139,"풀다",AV,"규칙",1,29761,untie,"* 김 형사는 밥을 먹을 동안에 죄인들의 수갑을 잠시 풀어 주었다.
* 결박을 풀다."
140,"끌다",AV,"규칙",2,62281,pull,"* 나는 무거운 소파를 질질 끌어서 베란다 옆으로 옮겼다. 
* 다리를 끌다."
141,"시작되다",AV,"규칙",3,66566,start,"* 또 한 해가 가고 새로운 해가 시작되었다.
* 시작된 개발."
142,"말다03",AV,"규칙",1,69296,"stop; choose not to","* 우리 그런 복잡한 일은 생각을 말자.
* 걱정을 말다."
143,"설명하다",AV,"ㅕ불규칙",3,65117,"explain; account for","* 이 책에서는 아이들에게 별자리에 대해 알기 쉽게 설명하고 있다.
* 설명하기 쉽다."
144,"바라다",AV,"규칙",1,58156,"want; hope; wish","* 부모님은 자식들의 행복을 바라는 마음뿐이었다.
* 바라는 마음."
145,"강하다02",DV,"ㅕ불규칙",1,64002,"strong; powerful","* 그는 상대편 선수의 강한 펀치를 맞고 그 자리에 쓰러졌다.
* 강한 손힘."
146,"나타내다",AV,"규칙",2,66316,"appear; turn up; show up","* 사장은 몸이 안 좋다며 회의장에 모습을 나타내지 않았다.
* 모습을 나타내다."
147,"아프다",DV,"규칙",1,62239,"hurting; aching","* 의사는 내가 앉자마자 아픈 곳이 어디냐고 물었다.
* 아픈 곳."
148,"적다02",DV,"규칙",1,62051,"little; a little","* 그는 일한 시간에 비해 적은 돈을 받는 자신의 직장이 마음에 들지 않았다.
* 적은 돈."
149,"놀라다",AV,"규칙",1,61607,"be surprised; be astonished; be shocked; be scared","* 동생은 밖에서 갑자기 큰 소리가 나서 화들짝 놀랐다.
* 놀라는 표정."
150,"다양하다",DV,"ㅕ불규칙",3,40558,"various; diverse","* 이 지역의 축제는 관광객들에게 다양한 볼거리와 먹을거리를 제공한다.
* 다양한 견해."
151,"울다01",AV,"규칙",1,69523,cry,"* 어린아이는 뛰어가다가 넘어지자 울기 시작했다.
* 아이가 울다."
152,"드러나다",AV,"규칙",2,15034,"be exposed; come into view","* 앞머리를 걷어 올리자 넓은 이마가 훤히 드러나 보였다.
* 모습이 드러나다."
153,"지내다",AV,"규칙",1,17173,live,"* 그녀와 떨어져 지내는 시간은 나에게는 언제나 외롭고 쓸쓸했다.
* 지내는 도시."
154,"담다",AV,"규칙",2,73283,"dish up","* 어머니는 끓인 물을 물병에 담으시고 냉장고에 넣으셨다.
* 쌀을 담다."
155,"모이다",AV,"규칙",1,91162,"be gathered; be collected","* 이 산은 돌들이 모여서 된 돌산이었다.
* 여럿이 모이다."
156,"빠르다",DV,"르불규칙",1,68755,"fast; quick","* 그가 빠르게 음식을 먹어치웠다.
* 걸음이 빠르다."
157,"던지다",AV,"규칙",1,66324,throw,"* 그가 던진 공은 운동장 담을 넘어갔다. 
* 던져 올리다."
158,"벌이다",AV,"규칙",2,59072,"kick off; start","* 이 단체는 연말마다 불우 이웃 돕기 운동을 벌이고 있다.
* 사업을 벌이다."
159,"강조하다",AV,"ㅕ불규칙",3,29762,"emphasize; stress","* 나는 평등보다는 개인의 자유를 강조하는 편이다.
* 사실을 강조하다."
160,"맡다01",AV,"규칙",2,62827,"undertake; take care of; take on; be in charge of; take charge of","* 식당을 개업하면서 어머니가 요리를 맡고 나는 배달을 맡았다.
* 맡은 업무."
161,"넓다",DV,"규칙",1,64511,broad,"* 그는 넓은 이마를 가리려고 앞머리를 내렸다.
* 공간이 넓다."
162,"들어서다",AV,"규칙",2,58158,"step in","* 아버지 차가 마당에 들어서는 소리가 들렸다.
* 고속 도로로 들어서다."
163,"가깝다",DV,"ㅂ불규칙",1,65200,"near; close; adjacent","* 시민들이 환승하기 편하도록 지하철역에서 가까운 곳에 버스 정류장이 들어섰다.
* 가까운 위치."
164,"팔다",AV,"규칙",1,71482,sell,"* 나는 사람들에게 내가 만든 빵을 팔았다.
* 땅을 팔다."
165,"일하다",AV,"ㅕ불규칙",3,57309,"work; labor","* 삼촌은 집을 장만하기 위해 열심히 일했다.
* 일한 대가."
166,"요구하다",AV,"ㅕ불규칙",3,66578,"request; demand","* 그는 승규의 잃어버린 노트북을 찾아 준 대가로 돈을 요구했다.
* 거액을 요구하다."
167,"올라가다",AV,"규칙",1,89867,"go up; rise; ascend","* 산 위에 올라가니 강 건너 멀리까지 눈에 보였다. 
* 산 위로 올라가다."
168,"당하다",AV,"ㅕ불규칙",2,14730,"undergo pain","* 다른 사람이 미리 말해 주지 않았다면 나는 사기꾼에게 제대로 당할 뻔했다.
* 거짓말에 당하다."
169,"삼다",AV,"규칙",2,16205,"adopt; have; take","* 아버지는 자상한 성격의 남자를 사위로 삼고 싶어 하셨다.
* 남편으로 삼다."
170,"일으키다",AV,"규칙",2,71697,"raise someone up; pick up; lift up","* 나는 넘어진 아이를 일으키며 다친 곳은 없는지 물어 보았다.
* 상체를 일으키다."
171,"태어나다",AV,"규칙",1,72180,"be born","* 나는 다시 태어나도 그 남자를 사랑할 것이라고 다짐했다.
* 새끼가 태어나다."
172,"즐기다",AV,"규칙",1,91878,"appreciate; enjoy; delight in","* 우리는 바닷가에서 여름휴가를 즐겼다.
* 즐기는 인생."
173,"변하다",AV,"ㅕ불규칙",1,58881,"change; turn; become different","* 가을이 되자 벼가 익어 논이 황금색으로 변했다.
* 거리가 변하다."
174,"맞추다",AV,"규칙",1,74127,"piece together; assemble","* 아이들은 퍼즐을 맞추며 시간 가는 줄 몰랐다.
* 맞춘 조각."
175,"재미있다",DV,"규칙",1,71212,interesting,"* 수학자 아버지께 어렵고 복잡한 수학 이론서는 가장 재미있는 책이다.
* 재미있는 글."
176,"가르치다",AV,"규칙",1,62255,"teach; instruct","* 선생님은 아이들에게 컴퓨터를 켜는 방법을 가르쳤다.
* 교과목을 가르치다."
177,"막다",AV,"규칙",2,29764,"block; close; fend off","* 범인이 도주할 수 있는 골목은 경찰들이 모두 막고 있었다.
* 강을 막다."
178,"버리다01",AV,"규칙",1,65570,"throw away; dump","* 아버지는 버릴 책을 한데 모아 놓으셨다.
* 쓰레기를 버리다."
179,"붙이다",AV,"규칙",1,60293,"stick; paste","* 민준은 오늘 이마에 반창고를 붙이고 학교에 왔다.
* 붙인 우표."
180,"마치다",AV,"규칙",1,61135,"complete; finish","* 나는 수업을 마치자마자 서둘러 집으로 돌아갔다.
* 경기를 마치다."
181,"걸다02",AV,"규칙",1,25461,"rich; fertile","* 밭이 걸어야 풍성한 열매를 얻을 수 있다.
* 걸게 만들다."
182,"빠지다02",AV,"규칙",1,71273,"sink down into; be thrown into","* 한 사내가 강물에 빠져 허우적거리고 있었다.
* 강에 빠지다."
183,"멀다02",DV,"규칙",1,26833,"distant; far-off","* 두 사람은 멀게 떨어져서 공을 주고받으며 놀고 있었다.
* 먼 곳."
184,"대다01",AV,"규칙",2,88105,"be on time","* 우리는 약속한 시간에 대기 위해 정신없이 뛰었다.
* 기차 시간에 대다."
185,"표현하다",AV,"ㅕ불규칙",3,72391,"express; represent; manifest","* 김 교수는 우리의 인생은 비극이라고 표현했다.
* 의사를 표현하다."
186,"인하다01",AV,"ㅕ불규칙",2,25114,"result from; be caused by; be due to","*  눈병으로 인해 결석한 학생이 많아졌다.
* 부주의로 인한 사고."
187,"이상하다",DV,"ㅕ불규칙",3,71167,"strange; unusual","* 남자는 정신이 이상한 사람처럼 허공을 보며 혼자 실실 웃어댔다.
* 날씨가 이상하다."
188,"붙다",AV,"규칙",1,74181,"stick to; cling to","* 그들은 게시판에 붙은 새로운 직원을 구한다는 안내문을 보았다.
* 붙은 상표."
